,name,price,change,volume,relative_volume,market_cap,pe,eps_diluted,eps_diluted_growth,dividends_yield,sector
5758,Gladstone Commercial Corporation - 6.625% Series E Cumulative Redeemable Preferred Stock,20.15,-0.98231441,654,0.05591607,485909723,,-0.2557,-3108.235294,10.6617,Finance
5759,"Gladstone Commercial Corporation - 6.00% Series G Cumulative Redeemable Preferred Stock, par value $0.001 per share",17.75,2.3644752,2239,0.32169078,485909723,,-0.2557,-3108.235294,10.6617,Finance
5760,Alphabet Inc.,140.29,-0.99505999,18173107,0.92636832,1.75993E+12,29.67718734,4.7272,-12.03572758,0,Technology Services
5761,Alphabet Inc.,138.97,-1.1241551,24763917,1.00755676,1.75993E+12,29.39795228,4.7272,-12.03572758,0,Technology Services
5762,Canada Goose Holdings Inc. Subordinate Voting Shares,13.21,-6.0455192,1546750,2.21197586,1359379346,36.69444444,0.36,-44.59833795,0,Consumer Non-Durables
5763,GIVOT OLAM OIL EXPLORATION,0.0003,0,192,0.07364787,19908099.57,,,,0,Energy Minerals
5764,Goldrea Resources Inc.,0.01,5.26315789,27720,1.05258361,816754,,-0.0066402,-33.47886916,0,Non-Energy Minerals
5765,Golden Ridge Resources,0.0438,-8.36820084,15000,0.39256739,2559729.67,,-0.04857858,55.98551122,0,Miscellaneous
5766,Gold Resource Corporation,0.398,-5.01193317,333496,1.14966589,35210478,,-0.2108,-266.9041964,10.0503,Non-Energy Minerals
5767,"Gossamer Bio, Inc.",0.69,3.63472514,1304840,1.12040748,155472279,,-2.206,27.57239477,0,Health Technology
5768,GECKOSYSTEMS INTERNATIONAL CORP,0.0001,0,200300,1.74726962,82500,,,,,Retail Trade
5769,Goliath Resources Ltd.,0.61885,1.85154707,71100,1.67204417,59722634.96,,-0.21213728,-14.02642321,0,Non-Energy Minerals
5770,Gaotu Techedu Inc.,2.58,-5.14705882,1456966,1.31580939,676106492,27.12933754,0.0951,,0,Commercial Services
5771,"Gouverneur Bancorp, Inc.",5.24,-4.72727273,100,0.15243902,10644414.9,16.81643132,0.3116,,2.84444,Finance
5772,"GeoVax Labs, Inc.",0.53,1.62991371,354510,0.83012882,14015133,,-0.751,74.78511953,0,Health Technology
5773,GreenPower Motor Company Inc.,3.15,-2.47678019,34750,0.80334747,78587159.55,,-0.57138256,22.72686798,0,Consumer Durables
5774,Global Partner Acquisition Corp II,10.88,0,145,0.00383171,124377105,28.69955157,0.3791,17.36842105,0,Finance
5775,Global Partner Acquisition Corp II,10.9,0.50714615,860,0.15874188,124377105,,,,0,Finance
5776,Gamer Pakistan Inc.,1.32,-19.01840491,78461,,,,,,,Consumer Services
5777,Genuine Parts Company,147.28,0.34748246,1092699,1.04609495,20683702248,17.21264536,8.5565,10.82974975,2.54278,Distribution Services
5778,Structure Therapeutics Inc.,65.39,4.6574904,1374725,0.63006842,2340678621,,,,0,Commercial Services
5779,Danone,57.77,0.9965035,3765,1.378414,37050589695,26.0790993,2.21518387,-39.06394407,3.69072,Consumer Non-Durables
5780,GRAPEFRUIT USA INC.,0.0035,-7.89473684,110200,0.1466672,2510908,,-0.0044,46.34146341,0,Health Technology
5781,Global Pole Trusion Group Corp.,0.01243,-5.83333333,600,0.08903134,5097.371552,,,,0,Producer Manufacturing
5782,G6 Materials Corp.,0.13924,13.11129163,2420,0.34901497,2209449.327,,-0.1741586,44.94036835,0,Process Industries
5783,Graphite One Inc.,0.77,-0.37521025,28079,0.57695587,99367191,,-0.0739312,9.92006019,0,Non-Energy Minerals
5784,"Group 1 Automotive, Inc.",251.9,-3.52355419,110622,0.92686278,3539415254,5.44270895,46.2821,21.93779558,0.69075,Retail Trade
5785,Wescan Energy Corp.,0.07,2.18978102,25400,2.49019608,2903107.2,,-0.00369656,-253.5717684,0,Energy Minerals
5786,"Georgia Power Company Series 2017A 5.00% Junior Subordinated Notes due October 1, 2077",21.685,-1.11674016,6078,0.45360917,,,,,,Utilities
5787,Graphic Packaging Holding Company,20.86,-2.1575985,3178601,0.90326446,6408421617,9.14390917,2.2813,147.7519548,1.91755,Process Industries
5788,Great Panther Mining Limited,1.00E-06,-90,4614,2.09109449,47,,,,0,Non-Energy Minerals
5789,"Geopulse Exploration, Inc.",0.009445,-0.68349106,100,0.00540178,1426006.1,,-0.0008,27.27272727,0,Commercial Services
5790,Granite Point Mortgage Trust Inc.,4.53,-0.87527352,308996,0.54468243,233647621,,-1.4414,-1083.219645,17.66,Finance
5791,Granite Point Mortgage Trust Inc. 7.00% Series A Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,16.45,0.24375381,4749,0.3716864,233647621,,-1.4414,-1083.219645,17.66,Finance
5792,GPM Metals Inc.,0.028,-6.66666667,8750,3.23882144,2345813.474,,-0.00324392,29.19018775,0,Non-Energy Minerals
5793,Global Payments Inc.,114.03,-0.99843723,1082683,0.78581881,29647103699,38.02267422,2.999,1530.777597,0.876962,Commercial Services
5794,Gulfport Energy Corporation,122.63,-0.62398703,120426,0.64107294,2290561383,2.10244242,58.3274,,0,Energy Minerals
5795,Grupo Carso S.A. de CV,14.33,1.12914608,5733,3.80348968,16754243977,15.33276268,0.9346,64.02246402,0.721826,Retail Trade
5796,GPO PLUS INC.,0.148,2.42214533,21016,0.72812439,6562151,,-0.1381,71.90805533,0,Commercial Services
5797,Green Plains Partners LP,13.73,-3.37790289,80099,1.05516292,319426126,8.33636916,1.647,-2.99210743,13.2556,Transportation
5798,Cerro De Pasco Res Inc.,0.067,3.45892526,9000,0.15072903,20985469.02,,-0.10916168,-1081.404358,0,Non-Energy Minerals
5799,GUANWEI RECYCLING CORP,0.0001,0,1000,0.50062578,1041,,,,,Process Industries
5800,"Green Plains, Inc.",26.91,-5.17970402,1398463,1.47872713,1601506845,,-4.0297,-120.0819225,0,Process Industries
5801,Geopark Ltd,10.39,-0.38350911,193813,0.45696161,603678465,3.28506387,3.1628,11.54687169,4.99519,Energy Minerals
5802,"GoPro, Inc.",2.8,-2.77777778,1143553,0.94094946,435021453,,-0.1795,-107.8473376,0,Consumer Durables
5803,"Gap, Inc. (The)",11.29,-2.08152645,7096525,1.08379433,4175952476,38.81058783,0.2909,,5.31444,Retail Trade
5804,GPT Group,2.41,-1.63265306,1125,0.96940974,4681489029,,-0.0213786,-105.1737455,6.40827,Finance
5805,Grande Portage Resources Ltd.,0.1417,-2.27586207,100,0.02131514,16111471.06,,-0.00773058,8.36071637,0,Non-Energy Minerals
5806,GOLDEN PHOENIX MINERALS INC,1.00E-06,0,250,0.00063998,462,,,,,Non-Energy Minerals
5807,Grab Holdings Limited,3.47,-0.5730659,13216909,0.83776506,13396449484,,-0.2831,-210.5859375,0,Transportation
5808,GOLD FLORA CORP.,0.132,-0.7518797,18556,0.35072599,14182608,,-2.06803672,69.23185839,0,Process Industries
5809,GREEN BRIDGE INDUSTRIES INC,0.001,66.66666667,285081,3.69769252,,,,,,Consumer Durables
5810,"Green Brick Partners, Inc.",39.9,-4.38533429,504996,1.44988012,1810596815,6.93768257,5.7512,5.27163567,0,Consumer Durables
5811,"Green Brick Partners, Inc. Depositary Shares (each representing a 1/1000th fractional interest in a share of 5.75% Series A Cumulative Perpetual Preferred Stock",18.32,0,1527,0.71889271,1810596815,3.18542217,5.7512,5.27163567,0,Consumer Durables
5812,Grupo Bimbo S.A.B. de C.V.,4.35,-4.3956044,1809,1.12199963,19286452721,7.46270864,0.58289828,166.1507968,1.80967,Consumer Non-Durables
5813,Gorman-Rupp Company (The),32.26,-1.43599145,38110,0.76348265,845018342,38.9660587,0.8279,-1.16986988,2.16987,Producer Manufacturing
5814,GOLD SPRINGS RESOURCE CORP.,0.0745,-5.69620253,25000,2.7906146,19472822.27,,-0.0030176,-158.0045668,0,Non-Energy Minerals
5815,Gracell Biotechnologies Inc.,2.53,-6.2962963,517474,0.52919249,242654898,,-1.2767,1.09234583,0,Health Technology
5816,GrainCorp Ltd.,4.494,4.02777778,6792,5.05131638,1005923506,4.52116019,0.99399265,3749.713009,4.01146,Commercial Services
5817,GREEN SHIFT COMMODITIES LTD.,0.0753,-11.7440225,2558,0.57493482,7092418.009,,-0.045264,-70.95187571,0,Non-Energy Minerals
5818,Green Cures & Botanical Distribution Inc.,0.0001,0,3783999,0.0267704,522633,,-0.0002,-100,0,Health Technology
5819,Greencity Acquisition Corporation,11.05,0,107,0.08668179,16188802.5,,,,0,Finance
5820,Grounded Lithium Corp,0.08756,-7.73445732,15826,0.37790996,5452110.843,,-0.12477776,-753.8678623,0,Non-Energy Minerals
5821,Greenidge Generation Holdings Inc.,3.91,0.25641026,22547,0.17604941,28295326,,-5.2436,82.41659485,0,Technology Services
5822,Greenidge Generation Holdings Inc. - 8.50% Senior Notes due 2026,6.08,-8.57142857,18990,2.9699254,28295326,,-5.2436,82.41659485,0,Technology Services
5823,"Eagle Capital Growth Fund, Inc.",8.42,-1.63551402,1070,0.30173994,33781500,,,,4.3943,Miscellaneous
5824,"Grifols, S.A.",8.69,-1.4739229,611160,1.55415117,7532329830,1241.428571,0.007,-99.27678479,0,Health Technology
5825,Graphex Group Limited,1.05,-1.86915888,46180,1.15274782,40806870.37,,-0.192,66.82791983,0,Producer Manufacturing
5826,Grainger PLC,2.85,3.63636364,186,0.04192778,2109278707,10.83391124,0.26306289,38.46526315,2.56656,Finance
5827,Grand Gulf Energy Ltd.,0.0094,42.42424242,10000,0.12977844,8252127.513,,-0.0009324,-513.9856,0,Energy Minerals
5828,"Gold Rock Holdings, Inc.",0.0082,-39.25925926,130000,0.53413514,1894640,,-0.0064,-481.8181818,0,Consumer Durables
5829,"GRI Bio, Inc.",1.5,0,29947,0.45761831,4434531,,,,0,Commercial Services
5830,Grindrod Shipping Holdings Ltd.,12.22,1.49501661,71756,2.95748583,237947940,12.68292683,0.9635,,7.36498,Transportation
5831,"Green Leaf Innovations, Inc.",0.0002,0,513956,0.19039522,719773,,-0.0001,50,0,Health Technology
5832,GREENLAND RES INC.,0.495874,-1.74876164,2000,0.1687123,53163059.15,,,,0,Non-Energy Minerals
5833,"Grillit, Inc.",0.00015,14900,1170001,0.22573848,549076,,-0.0001,,0,Finance
5834,Group Eleven Resources Corp.,0.077,4.05405405,1270,0.03386784,13239706.33,,-0.01139144,1.53822112,0,Non-Energy Minerals
5835,Goldrich Mining Company,0.027,-10,8788,0.06800805,5307106.5,,-0.0057,32.94117647,0,Non-Energy Minerals
5836,Garmin Ltd.,107.59,-1.04846868,511657,0.80421243,20598273565,20.7871247,5.1758,-1.36072572,2.71401,Electronic Technology
5837,Greenbank Capital Inc.,0.0205,-31.66666667,10000,0.99247702,2409163.417,,-0.03851316,-25.11958645,0,Finance
5838,Grindr Inc.,5.89,0.17006803,265106,1.04233736,1025251020,,-0.2977,-180.9407287,0,Technology Services
5839,GRN Holding Corporation,0.125,0.60362173,6004,0.95167145,2062443,,-0.0127,83.71794872,0,Non-Energy Minerals
5840,"GreenGro Technologies, Inc.",0.0022,-6.38297872,801161,1.16413708,846327,,,,0,Distribution Services
5841,"Greenlite Ventures, Inc.",0.65,-2.98507463,1000,0.35990642,1632800,,,,,Distribution Services
5842,GREEN OASIS RETIREMENT GROUP,0.0001,9900,100,0.00487377,9217,,,,,Industrial Services
5843,Greenpro Capital Corp.,0.98,-3.92156863,15396,1.00208279,7424297,3.14808866,0.3113,,0,Finance
5844,"Granite Ridge Resources, Inc.",6.18,2.82861897,621522,1.19233861,833323413,3.61107865,1.7114,,6.6343,Energy Minerals
5845,Greenlane Renewables Inc.,0.1635,-1.08892922,225200,4.43007098,25037206.99,,-0.03953056,-39.86430842,0,Utilities
5846,Grom Social Enterprises Inc.,1.26,-3.07692308,355915,0.09100639,1829796,,-239.5444,56.11920176,0,Technology Services
5847,"Grove Collaborative Holdings, Inc.",1.93,-8.0952381,57972,0.84254403,70325176,,-0.4266,92.67413106,0,Consumer Non-Durables
5848,"U.S. Global Investors, Inc.",2.84,0,8116,0.13151051,41402439,31.98198198,0.0888,-86.49224217,3.16901,Miscellaneous
5849,Gold Royalty Corp.,1.29,4.03225806,284326,0.75639036,187011650,,-0.0776,72.29560871,3.10078,Non-Energy Minerals
5850,Granite Real Estate Inc. Stapled,52.18,-0.2675841,219,0.05835954,3315657524,,-1.71641088,-112.7778565,4.46821,Finance
5851,Grupo Televisa S.A.,0.6,0,300,0.19094902,1680780000,,-0.36061704,-452.7675754,3.37512,Communications
5852,"Graphite Bio, Inc.",2.38,-2.05761317,51146,0.38439801,137993059,,-2.2918,-47.74368231,0,Health Technology
5853,"Groupon, Inc.",10.94,9.61923848,2128550,0.92855633,341859859,,-5.0338,-468.4697911,0,Retail Trade
5854,"Gold River Productions, Inc.",0.0037,0,133608,0.24637572,3540565,,-0.0004,-500,0,Health Technology
5855,Getlink SE,16,2.23642173,15000,5.99520384,8626981511,22.11842635,0.72337877,,3.33222,Transportation
5856,Getlink SE,30,3.41261634,813,0.80114308,8519772556,21.68570189,1.3834,,2.36986,Transportation
5857,Grange Resources Ltd.,0.285,-8.06451613,19000,1.74449566,329841540.5,4.5045045,0.06327,-71.56692308,9.09091,Non-Energy Minerals
5858,Gerresheimer AG,109.15,0.78485688,190,1.14320096,3770041156,30.58742107,3.56846037,23.08377349,1.2207,Process Industries
5859,Gorilla Technology Group Inc.,0.826,-1.43198091,707525,1.10888124,58941500,,,,0,Technology Services
5860,Greencastle Resources Ltd.,0.0351,-7.63157895,1000,0.06071645,1270994.613,,-0.01418272,64.25511139,0,Miscellaneous
5861,GR SILVER MNG LTD.,0.028,-4.76190476,33174,1.28772058,7522964.4,,-0.05756072,28.16735808,0,Non-Energy Minerals
5862,"Grow Solutions Holdings, Inc.",1.00E-06,0,24000,0.00600532,9212,,,,0,Miscellaneous
5863,Ethema Health Corporation,0.0004,0,7690100,0.83399844,1491621,,0,-100,0,Health Services
5864,"Gritstone bio, Inc.",2.44,-4.31372549,3874616,0.44724159,227104059,,-1.3099,10.84263545,0,Health Technology
5865,"Galera Therapeutics, Inc.",0.2012,-5.27306968,8519750,2.42108006,8838447,,-2.1628,17.31783776,0,Health Technology
5866,Grown Rogue International Inc.,0.26,-3.7037037,175139,0.68867308,47321530.29,38.11701925,0.0068211,30.33857725,0,Health Technology
5867,"Groove Botanicals, Inc.",0.12,75.18248175,29469,2.12123175,3395160,,-0.0039,84.82490272,0,Consumer Non-Durables
5868,Greatview Aseptic Packaging Company Ltd.,0.27,-0.73529412,41000,0.34478177,360890384.3,11.69328766,0.02309017,-38.14598251,0,Commercial Services
5869,"GRAVITY Co., Ltd.",66.36,3.5742157,28753,1.57120219,461129008,,,,0,Technology Services
5870,GROW CAPITAL INC,0.0101,0,2100,3.34608031,263303,,,,,Finance
5871,GrowGeneration Corp.,2.59,-5.47445255,766923,1.21436887,158590317,,-0.5576,76.10251575,0,Distribution Services
5872,The Gabelli Healthcare & Wellness Trust,8.28,-2.12765957,81144,1.27642104,142043000,33.83735186,0.2447,-93.69427408,7.24638,Miscellaneous
5873,Graycliff Exploration Limited,0.02,-64.02877698,300,0.28788024,899912.2776,,-0.04322712,80.44561535,0,Non-Energy Minerals
5874,AU MIN AFRICA PTY LTD,1.00E-06,-90,4000,0.25106703,859,,,,,Industrial Services
5875,Geo Energy Resources Ltd.,0.2093,13.87377584,5000,0.53993931,292473920.3,3.52655353,0.05934973,-63.65265251,20,Energy Minerals
5876,"Goldman Sachs Group, Inc. (The)",309.85,-1.01271484,1727714,1.06457776,1.02149E+11,13.21868747,23.4403,-47.00960778,3.30805,Finance
5877,"Goldman Sachs Group, Inc. (The) Depositary Shares each representing 1/1000th Interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series A",20.83,-0.19166267,15760,0.22570906,1.02149E+11,0.8886405,23.4403,-47.00960778,3.30805,Finance
5878,"Goldman Sachs Group, Inc. (The) Depositary Share repstg 1/1000th Preferred Series C",21.01,-0.52083333,16459,0.44966014,1.02149E+11,0.89631959,23.4403,-47.00960778,3.30805,Finance
5879,"Goldman Sachs Group, Inc. (The) Dep Shs repstg 1/1000 Pfd Ser D Fltg",20.89,-0.57115659,38817,0.42343586,1.02149E+11,0.8912002,23.4403,-47.00960778,3.30805,Finance
5880,"Goldman Sachs Group, Inc. (The) Dep Shs Repstg 1/1000 Int Sh Fxd/Fltg Non Cum Pfd Stk Ser K",25.37,0.4354711,48962,0.67908366,1.02149E+11,1.08232403,23.4403,-47.00960778,3.30805,Finance
5881,GelStat Corp.,0.0003,50,1350000,0.06053247,185394,,,,0,Health Technology
5882,"Globalstar, Inc.",1.37,-0.72463768,3624523,0.74117234,2517908493,,-0.1198,-110.915493,0,Communications
5883,"Great Southern Bancorp, Inc.",48.11,-1.04895105,29505,1.21129143,575071458,7.8778451,6.107,13.73922113,3.32571,Finance
5884,"Goldman Sachs BDC, Inc.",13.98,-1.06157113,468856,0.90786116,1531697992,16.83120636,0.8306,-37.72679562,12.8755,Finance
5885,Ioneer Ltd.,0.12,0,13459,0.25796522,253323168,,-0.002997,32.33891525,0,Process Industries
5886,Global Systems Dynamics Inc.,11.21,-0.17809439,27111,41.70281495,37105504.26,,-0.0451,42.83903676,0,Finance
5887,GOLDSANDS DEVELOPMENT COMPANY,1.00E-06,0,24600,0.22743053,,,,,,Non-Energy Minerals
5888,Convivio,41.8,-3.67065504,425,1.093107,4300978704,,-9.96652768,-226.4642956,9.25469,Finance
5889,"Global Seafood Technologies, Inc.",0.0621,-24.26829268,11250,0.31655275,1016453,,,,0,Consumer Non-Durables
5890,Green Stream Holdings Inc.,1.00E-06,-99,5612267,0.70807987,6542,,0,100,0,Energy Minerals
5891,GENSIGHT BIOLOGICS SA,0.0003,-99.95714286,100,0.04009623,31124959.55,,,,0,Health Technology
5892,"Goosehead Insurance, Inc.",69.5,-4.8205971,197506,0.72302027,2619716176,267.4105425,0.2599,141.3184773,0,Finance
5893,Goldshore Resources Inc.,0.078,-4.8896476,64400,2.96234964,14950497.71,,,,0,Non-Energy Minerals
5894,GENERAL STEEL HOLDINGS INC,0.0002,0,6536,7.46374329,9203,,,,,Non-Energy Minerals
5895,"GSI Technology, Inc.",2.29,-4.97925311,83207,0.82226856,57440397,,-0.6929,3.22625698,0,Electronic Technology
5896,GSK plc,37.01,-1.46432375,4382236,1.22479526,75344570966,4.26884127,8.6698,189.0029668,3.65075,Health Technology
5897,Global Ship Lease Inc New,17.89,-2.07991242,318273,0.51990959,629118155,2.09031957,8.5585,22.59002492,8.38457,Transportation
5898,"Global Ship Lease, Inc. Depository Shares Representing 1/100th Perpetual Preferred Series B% (Marshall Island)",25.19,0.09496903,3595,0.31108842,629118155,2.94327277,8.5585,22.59002492,8.38457,Transportation
5899,GO SOLAR USA INC,0.0001,0,3000,0.56363431,6543,,,,,Commercial Services
5900,Ferroglobe PLC,4.98,-2.1611002,623002,0.82292419,933419072,5.35714286,0.9296,-41.75803521,0,Non-Energy Minerals
5901,Glory Star New Media Group Holdings Limited,0.3527,2.1134916,76609,0.64947209,35404896,,,,0,Technology Services
5902,G&S MINERALS INC,0.0001,0,30000,0.21788834,14658,,,,,Process Industries
5903,Grayscale Solana Trust (SOL),31,0,400,0.82101806,,,,,,
5904,"Gulfslope Energy, Inc.",0.000905,-9.5,530500,1.5015474,1231234,,-0.004,2.43902439,0,Energy Minerals
5905,"Green Star Products, Inc.",0.0012,20,33333,0.33099812,804476.7568,,,,,Process Industries
5906,Golden Spike Resources Corp.,0.065,140.7407407,1000,,2249000,,-0.03137064,,0,Non-Energy Minerals
5907,Golden Star Enterprises Ltd.,0.0218,-0.90909091,1500,0.07256262,2355428.055,,-0.0115,71.39303483,0,Electronic Technology
5908,GSP RESOURCE CORP.,0.145,-2.88010717,5740,0.68900119,3198087.133,,-0.0099414,24.20973473,0,Non-Energy Minerals
5909,GOLDEN SHIELD RES INC.,0.1185,-12.22222222,1738,0.09872139,7285020.318,,-0.12896744,-100.7803663,0,Non-Energy Minerals
5910,GSRX INDUSTRIES INC,0.0002,0,1000,0.27707739,16360,,,,,Process Industries
5911,Gossan Resources Ltd.,0.02,-31.03448276,30000,1.87891048,1336033.143,,-0.001886,94.63809882,0,Non-Energy Minerals
5912,GlobeStar Therapeutics Corporation,0.0022,-18.51851852,3561313,0.39564145,2056755,,-0.0024,76.92307692,0,Health Technology
5913,GOLDSTORM METALS CORP.,0.1999,21.15151515,2095,0.04787871,12827736.77,,-0.02436712,,0,Non-Energy Minerals
5914,Graphene & Solar Technologies Ltd.,0.0074,0,250,0.02817695,20567166,,-0.0218,82.60175579,0,Process Industries
5915,Golden Sun Education Group Limited,0.79,5.33333333,61896,1.21874188,14500838,,,,0,Commercial Services
5916,GSV INC,0.0001,0,100,0.24539877,750,,,,,Energy Minerals
5917,GUANAJUATO SILVER CO LTD,0.19995,-4.33014354,103379,0.77133426,70179485.03,,-0.1180636,-184.9866586,0,Non-Energy Minerals
5918,The Goodyear Tire & Rubber Company,12.16,-1.21852153,1976173,0.555471,3447084234,,-1.298,-139.2940393,0,Consumer Durables
5919,Golden Tag Resources Ltd.,0.0708,1.43266476,925,0.01657602,28117574.3,,-0.00852472,50.32210689,0,Non-Energy Minerals
5920,Green Thumb Industries Inc.,9.7,-0.46708642,391677,0.79374105,2315983023,,-0.08426648,-120.9386638,0,Process Industries
5921,"GT Biopharma, Inc.",0.2503,-4.46564885,174565,1.9011881,10172113,,-0.4453,55.41203565,0,Health Technology
5922,GBT Technologies Inc.,0.0002,0,142458459,18.36970366,1340739,,-0.0032,73.98373984,0,Technology Services
5923,Gran Tierra Energy Inc.,6.55,-2.38450075,197336,0.51303983,218030223,,-0.1563,-105.3587959,0,Energy Minerals
5924,Greenland Technologies Holding Corporation,2.88,4.34782609,36627,0.40932255,37378094,8.93023256,0.3225,-21.03330069,0,Producer Manufacturing
5925,GenTech Holdings Inc.,1.00E-06,0,2008670,1.19370176,30494.2,,,,0,Technology Services
5926,Gates Industrial Corporation plc,11.21,-2.09606987,700684,0.34943576,2960406448,13.92027816,0.8053,9.29695983,0,Producer Manufacturing
5927,Genetron Holdings Limited,1.18,25.53191489,1916643,39.82618254,107844568,,,,0,Health Services
5928,"Guided Therapeutics, Inc.",0.1451,-12.06060606,2031,0.19479025,7442025,,-0.1204,7.59785111,0,Health Technology
5929,"G1 Therapeutics, Inc.",1.12,-4.27350427,421241,0.85153019,57955048,,-1.7092,57.4688332,0,Health Technology
5930,"Global Tech Industries Group, Inc.",0.7049,-0.70432455,281719,0.74723195,243966893,,-0.3129,-1067.537313,0,Health Services
5931,Good Times Restaurants Inc.,2.934,-2.2,6571,0.80186952,33917618,3.45095272,0.8502,,0,Consumer Services
5932,GitLab Inc.,47.73,-1.26189491,902528,0.70537681,7411418796,,-1.2553,-7.00707527,0,Technology Services
5933,"Global Technologies, Ltd.",0.0001,-33.33333333,166287,0.02166816,1448844,,-0.0001,0,0,Consumer Services
5934,"Chart Industries, Inc.",160.33,-2.6060017,423508,0.86601888,6852366323,,-0.6052,-149.8722703,0,Producer Manufacturing
5935,"Chart Industries, Inc. Depositary Shares, each Representing a 1/20th Interest in a Share of 6.75% Series B Mandatory Convertible Preferred Stock",63.82,-1.89839367,3512,0.23675979,6852366323,,-0.6052,-149.8722703,0,Producer Manufacturing
5936,Grupo TMM S.A.B.,0.5,-1.18577075,5000,0.75273997,17241953.62,22.02643172,0.0227,,0,Transportation
5937,GREEN TECHNOLOGY METALS LTD.,0.25,-13.79310345,34000,6.91745844,69119148.94,,-0.0227106,,0,Non-Energy Minerals
5938,"Gray Television, Inc.",6.04,-4.12698413,1143390,0.78153211,588260398,2.58340462,2.338,81.40906269,5.29801,Consumer Services
5939,"Gray Television, Inc.",7.47,-1.96850394,1326,1.05724765,588260398,3.19503849,2.338,81.40906269,4.2838,Consumer Services
5940,GOTO GOJEK TOKOPEDIA TBK PT,0.0109,,5000,,4965760760,,-0.00211648,-14.12319364,0,Technology Services
5941,GGTOOR INC.,0.00401,0,65750,0.38092203,967577.1211,,-0.0006,92.77108434,0,Consumer Non-Durables
5942,"Great American Bancorp, Inc.",34.75,0.72463768,200,0.2020202,15429000,6.88118812,5.05,616.3120567,2.1295,Finance
5943,Live Energy Minerals Corp.,0.52,-48,1000,,8850660,,-0.00750321,,0,Non-Energy Minerals
5944,GTI ENERGY LTD,0.008,60,302500,2.61160849,16359578.35,,-0.000666,26.074,0,Non-Energy Minerals
5945,"Get Real USA, Inc.",0.235,334.3807763,125,0.15949981,270720,,,,0,Commercial Services
5946,GetSwift Technologies Limited,1.00E-06,-90,3500,0.05504166,,,,,,Technology Services
5947,GOLDEN TRIANGLE VENTURES INC.,0.000683,-11.2987013,6050520,5.37377427,209284,,-0.0125,81.23123123,0,Commercial Services
5948,Garrett Motion Inc.,7.39,-1.7287234,764028,1.09587681,1912537513,,-1.2912,-171.8850908,0,Producer Manufacturing
5949,Getty Realty Corporation,27.21,-1.91059841,301534,0.90041785,1374137339,19.61081081,1.3875,-19.33608511,6.32121,Finance
5950,"Guerrilla RF, Inc.",4,-2.43902439,200,0.09213193,27300476.79,,-2.4416,-93.19512581,0,Electronic Technology
5951,Guggenheim Active Allocation Fund,13.26,-1.41263941,60428,0.6056518,,,,,,Miscellaneous
5952,Gulf Keystone Petroleum Ltd.,1.465,1.73611111,212,0.01517212,325879962,,,,42.656,Energy Minerals
5953,GUILD ESPORTS PLC,0.0055,-21.42857143,10000,0.85405119,3422745.408,,-0.01442961,,0,Consumer Services
5954,Gulf Coast Ultra Deep Royalty Trust,0.014,-3.44827586,55834,0.34188003,3222418,2.1875,0.0064,36.17021277,55.3,Miscellaneous
5955,"Gulf Resources, Inc.",1.7,-1.1627907,7904,0.33969108,17802271,3.54388159,0.4797,-37.7012987,0,Process Industries
5956,Guru Organic Energy Co.,1.62,20,4700,3.03225806,51466885.41,,-0.28656199,39.69924619,0,Consumer Non-Durables
5957,Gabelli Utility Trust (The),5.75,-1.87713311,168256,0.31920981,367625000,,-0.14,-119.2386973,10.4348,Miscellaneous
5958,Gabelli Utility Trust (The) 5.375% Series C Cumulative Preferred Shares,22.5857,-1.65592615,447,0.21221041,,,-0.14,-119.2386973,10.4348,Miscellaneous
5959,G2 Goldfields Inc.,0.615,6.77083333,8275,1.06053033,112818743.2,,-0.01958824,-50.239953,0,Non-Energy Minerals
5960,"Grupo Herdez, S.A.B. DE C.V.",2.08,-16.12903226,1060,0.54552005,737739581,10.82758389,0.19210195,90.98216626,3.1389,Consumer Non-Durables
5961,Visionary Education Technology Holdings Group Inc.,0.149,-0.66666667,430855,0.28832324,5848250,,-0.0885,-223.4309623,0,Consumer Services
5962,Granite Construction Incorporated,37.56,-2.79503106,197960,0.72404585,1649641926,40.37841324,0.9302,70.55372204,1.38445,Industrial Services
5963,Givaudan SA,3180.385,-1.39105496,5,0.30487805,29348327910,30.45415662,104.4318856,10.61538559,2.30241,Consumer Non-Durables
5964,"Golden Valley Development, Inc.",0.0075,650,21000,0.31586072,2430818,,,,,Transportation
5965,Givaudan SA,63.72,-0.45305421,20282,0.69834624,29544469125,31.92064923,1.9962,4.05003909,1.39838,Consumer Non-Durables
5966,Greenville Federal Financial Corp.,6.49,6.91927512,115,0.25164114,14180650,20.21806854,0.321,9.07237513,0,Finance
5967,"GSE Systems, Inc.",0.1939,-2.66064257,226461,0.86676271,4809166,,-0.6815,-397.4683544,0,Industrial Services
5968,Good Vibrations Shoes Inc.,0.0087,-2.24719101,4509926,1.86236777,19187103,,,,0,Process Industries
5969,Goviex Uranium Inc,0.11,-0.45248869,306532,0.77107093,79903060.88,,-0.01637048,22.77212487,0,Non-Energy Minerals
5970,GOLDEN VY BANCSHARES INC.,14.5,7.56277586,262,0.20064328,33144355.7,,,,0,Finance
5971,"Greenwave Technology Solutions, Inc.",0.605,-6.56370656,273141,1.50801069,9015352,,-5.513,-359.5452192,0,Commercial Services
